word	why
CONDOR	Xuxen rejects it
CONTENT	Xuxen rejects it
CONTINUE	Xuxen rejects it
CONTINUUM	spelled as Basque never spells
COOK	Xuxen rejects it
COOKIE	spelled as Basque never spells
COPPER	Xuxen rejects it
COPY	Xuxen rejects it
COR	Xuxen rejects it
CORN	Xuxen rejects it
COS	spelled as Basque never spells
COST	Xuxen rejects it
COUNT	Xuxen rejects it
COW	Xuxen rejects it
CRANE	Xuxen rejects it
CRASH	Xuxen rejects it
CREW	Xuxen rejects it
CROW	Xuxen rejects it
CROWD	Xuxen rejects it
CROWN	Xuxen rejects it
CRUEL	Xuxen rejects it
CULPA	spelled as Basque never spells
CUM	spelled as Basque never spells
CUT	Xuxen rejects it
DAD	Xuxen rejects it
DAG	Xuxen rejects it
DAK	Xuxen rejects it
DAL	Xuxen rejects it
DAMP	Xuxen rejects it
DANCE	spelled as Basque never spells
DARK	Xuxen rejects it
DART	Xuxen rejects it
DAS	Xuxen rejects it
DATO	Xuxen rejects it
DAUPHINE	Xuxen rejects it
DAY	Xuxen rejects it
DEAD	Xuxen rejects it
DEAL	Xuxen rejects it
DEATH	Xuxen rejects it
DEEP	Xuxen rejects it
DEER	Xuxen rejects it
DELTOID	Xuxen rejects it
DEMOCRACY	Xuxen rejects it
DERBY	spelled as Basque never spells
DESERT	Xuxen rejects it
DEVIL	Xuxen rejects it
DEW	Xuxen rejects it
DIAMOND	Xuxen rejects it
DICK	Xuxen rejects it
DIG	Xuxen rejects it
DIM	Xuxen rejects it
DINNER	Xuxen rejects it
DIRECTION	Xuxen rejects it
DIRTY	Xuxen rejects it
DISCOVERY	Xuxen rejects it
DISH	Xuxen rejects it
DOG	Xuxen rejects it
DONNA	Xuxen rejects it
DOOR	Xuxen rejects it
DOS	Xuxen rejects it
DREAM	Xuxen rejects it
DREK	Xuxen rejects it
DRESS	Xuxen rejects it
DRINK	Xuxen rejects it
DRIVE	spelled as Basque never spells
DRIVER	spelled as Basque never spells
DRY	Xuxen rejects it
DUCK	Xuxen rejects it
DUDE	Xuxen rejects it
DUG	Xuxen rejects it
DUNE	Xuxen rejects it
DYNASTY	Xuxen rejects it
EAGLE	Xuxen accepts it, but no Romance language has it: English only
EAST	Xuxen rejects it
EAU	Xuxen rejects it
ECHO	Xuxen rejects it
EDGE	Xuxen rejects it
EDUCATION	Xuxen rejects it
EGG	Xuxen rejects it
EIGHT	Xuxen rejects it
EINSTEIN	Xuxen rejects it
ELECTRIC	Xuxen rejects it
ELEVEN	Xuxen rejects it
ELM	Xuxen rejects it
ELSE	Xuxen rejects it
ENERGY	Xuxen rejects it
ENTER	Xuxen rejects it
EST	Xuxen rejects it
EVEN	Xuxen rejects it
EVENING	Xuxen rejects it
EXPENSIVE	Xuxen rejects it
EXPLAIN	Xuxen rejects it
EYE	Xuxen rejects it
