word	why
WAS	Xuxen rejects it
WASH	Xuxen rejects it
WATCH	Xuxen rejects it
WATER	Xuxen rejects it
WATERFALL	Xuxen rejects it
WEATHER	Xuxen rejects it
WEAVER	Xuxen rejects it
WEEKEND	Xuxen rejects it
WELCOME	Xuxen rejects it
WELL	Xuxen rejects it
WEST	Xuxen rejects it
WHAT	Xuxen rejects it
WHEEL	Xuxen rejects it
WHEN	Xuxen rejects it
WHERE	Xuxen rejects it
WHISKY	Xuxen rejects it
WHITE	Xuxen rejects it
WHO	Xuxen rejects it
WHY	Xuxen rejects it
WIN	Xuxen rejects it
WIND	Xuxen rejects it
WINDY	Xuxen rejects it
WING	Xuxen rejects it
WINTER	Xuxen rejects it
WIRING	Xuxen rejects it
WIT	Xuxen rejects it
WITH	Xuxen rejects it
WITHOUT	Xuxen rejects it
WITNESS	Xuxen rejects it
WOLF	Xuxen rejects it
WOMAN	Xuxen rejects it
WOOD	Xuxen rejects it
WORD	Xuxen rejects it
WORLD	Xuxen rejects it
WORM	Xuxen rejects it
WOUND	Xuxen rejects it
WRITE	Xuxen rejects it
YARD	spelled as Basque never spells
YEAR	Xuxen rejects it
YEN	spelled as Basque never spells
YES	Xuxen rejects it
YOU	Xuxen rejects it
YOUNG	Xuxen rejects it
YOUR	Xuxen rejects it
ZEE	Xuxen rejects it
